"Date","steem_price","sbd_price","amount","from","memo","to","timestamp","currency_amount","currency_type","direction","dollar_price_of_tr","tr_type"
"2017-12-28",3.23,8.96,"2.406 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171222t174510474z","pushup","2017-12-28T08:47:45",2.406,"SBD","out",21.56,"normal_tr"
"2017-12-28",3.23,8.96,"3.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171222t71736316z","pushup","2017-12-28T13:13:27",3,"SBD","out",26.88,"normal_tr"
"2017-12-28",3.23,8.96,"3.000 SBD","pushup","Unable to accept bid.  (ID:0534166f3983253dd55f971dc6156eab9b80872f)","misrori","2017-12-28T13:14:24",3,"SBD","in",26.88,"normal_tr"
"2017-12-28",3.23,8.96,"3.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171222t71736316z","pushup","2017-12-28T13:47:18",3,"SBD","out",26.88,"normal_tr"
"2017-12-28",3.23,8.96,"3.000 SBD","pushup","Unable to accept bid.  (ID:d9ae263d0753e768a7e7cea9b0015edd6ae83ec3)","misrori","2017-12-28T13:48:24",3,"SBD","in",26.88,"normal_tr"
"2017-12-28",3.23,8.96,"2.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055737390z","pushup","2017-12-28T13:49:12",2,"SBD","out",17.92,"normal_tr"
"2017-12-28",3.23,8.96,"2.000 SBD","pushup","Unable to accept bid.  (ID:55fcfd5b0e32460461244ad0605fa8606430ea8b)","misrori","2017-12-28T13:50:12",2,"SBD","in",17.92,"normal_tr"
"2017-12-29",2.92,8,"2.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055737390z","pushup","2017-12-29T10:20:45",2,"SBD","out",16,"normal_tr"
"2017-12-29",2.92,8,"2.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055737390z","boomerang","2017-12-29T10:21:45",2,"SBD","out",16,"normal_tr"
"2017-12-29",2.92,8,"0.001 STEEM","steemlike","Now steemlike. 0.1 ~ 9 SBD. return to 245% upvote.","misrori","2017-12-29T10:25:33",0.001,"STEEM","in",0,"normal_tr"
"2017-12-29",2.92,8,"0.001 STEEM","cryptomonitor","Hello there. I'm running budget proposal campaign on Steemit where im looking for investors /  donators to fund future STEEM Windows and Android apps - STEEMER.NET. Would you please consider  contributing to this cool projects with SBD / STEEM / SP donation to my account @cryptomonitor or upvoting my latest presentation / post where i described STEEMER.NET Project in detail?  https://steemit.com/investors-group/@cryptomonitor/steemer-net-steem-blockchain-transactor-for-windows-android-app-funding-update-243-1200-sbd-28-12-2017 Thank you for your support - @cryptomonitor (Discord contact: cryptomonitor#0447)","misrori","2017-12-29T11:33:03",0.001,"STEEM","in",0,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055828386z","pushup","2017-12-29T11:54:27",1,"SBD","out",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055828386z","boomerang","2017-12-29T11:54:57",1,"SBD","out",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055828386z","allaz","2017-12-29T11:55:24",1,"SBD","out",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","allaz","Refund for invalid bid: 1.000 SBD - Posts cannot be older than 6 Day(s).","misrori","2017-12-29T11:55:33",1,"SBD","in",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171223t055828386z","aksdwi","2017-12-29T11:56:30",1,"SBD","out",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171224t13430444z","boomerang","2017-12-29T14:21:36",1,"SBD","out",8,"normal_tr"
"2017-12-29",2.92,8,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171224t13430444z","aksdwi","2017-12-29T14:22:03",1,"SBD","out",8,"normal_tr"
"2017-12-30",3.18,9.01,"2.000 SBD","pushup","Unable to accept bid.  (ID:08474198f249e7c0b35a5794f571745b51307936)","misrori","2017-12-30T05:01:18",2,"SBD","in",18.02,"normal_tr"
"2017-12-30",3.18,9.01,"1.000 SBD","pushup","Unable to accept bid.  (ID:6343481c5ab2b5f5bfd60090d7b29bf5a38afc54)","misrori","2017-12-30T05:01:18",1,"SBD","in",9.01,"normal_tr"
"2017-12-30",3.18,9.01,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171225t152151508z","allaz","2017-12-30T07:40:42",1,"SBD","out",9.01,"normal_tr"
"2017-12-30",3.18,9.01,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171225t152151508z","aksdwi","2017-12-30T07:41:21",1,"SBD","out",9.01,"normal_tr"
